"","Row.names","baseMean","avg_logFC","p_val","p_val_adj","pct.1","pct.2","L","M","S","UV","pctL","pctM","pctS","pctUV"
"USMG5","USMG5",4.12761734841019,0.319844722121692,0.00122319617231125,1,0.594,0.403,4.75135729456787,2.74899479528649,4.5199229973333,4.49019430645308,59.4084329767149,40.3100775193798,53.6585365853659,60
"gnat1","gnat1",18.0915009984073,0.0510923970171024,0.00167686304354173,1,0.817,0.829,13.7718076211456,16.9964990140041,20.3686063271189,21.2290910313605,81.686595342983,82.9457364341085,84.1463414634146,85
"nrgna","nrgna",3.99391552693487,-0.0667558315412338,0.00173028580065583,1,0.435,0.481,3.83508237148216,5.71714225099946,3.71969111790326,2.70374636735459,43.5494021397105,48.062015503876,39.0243902439024,30
"cox6a1","cox6a1",8.92956832673057,0.355175470546372,0.00186975930665835,1,0.871,0.667,10.7412574470669,7.80539822799759,9.13465341381302,8.03696421804482,87.098804279421,66.6666666666667,74.390243902439,65
"chac1","chac1",3.03792096623034,-0.0500566637836015,0.00214912202663313,1,0.351,0.395,2.0009368583938,2.98982742315577,2.9461393188713,4.21478026450049,35.0534927627439,39.5348837209302,41.4634146341463,35
"laptm4b","laptm4b",17.8423716859869,0.0515873746599278,0.00222357411239072,1,0.915,0.915,16.3487598947228,19.8091260432778,18.4909050377536,16.7206957681933,91.5040906230333,91.4728682170543,95.1219512195122,85
"cox7c","cox7c",12.5435922562851,0.360536081855488,0.0022896765187815,1,0.904,0.783,14.1700052522563,10.7733312888528,13.4811491549475,11.749883329084,90.3713027061045,78.2945736434108,84.1463414634146,80
"mdh1ab","mdh1ab",7.86797857651041,0.00946958677758869,0.00256508292356659,1,0.734,0.744,7.99323023670646,9.73635084325175,5.38091214031602,8.3614210857674,73.3794839521712,74.4186046511628,60.9756097560976,70
"pdca","pdca",3.07755654520575,-0.0540263158765793,0.00261222379605602,1,0.303,0.333,1.93140227478466,3.10583732728671,2.74432153607347,4.52866504267815,30.3335431088735,33.3333333333333,28.0487804878049,45
"BX004774.2","BX004774.2",2.40040080938934,-0.0580720762630508,0.00265581021978729,1,0.352,0.388,2.95859784537547,4.50252711647765,1.49580196780535,0.644676307898871,35.2422907488987,38.7596899224806,23.1707317073171,10
"si:ch211-113d22.2","si:ch211-113d22.2",9.48544089393279,0.0146808821332115,0.00266424429196701,1,0.655,0.69,7.40886440879735,9.57377867962996,11.3923095017021,9.56681098560171,65.5129011957206,68.9922480620155,75.609756097561,80
"CR318588.4","CR318588.4",2.28215248358591,-0.130772100381656,0.00283106389396269,1,0.276,0.279,1.7047525437518,2.60866336264666,2.35356478067373,2.46162924727145,27.5645059786029,27.906976744186,24.390243902439,25
"rps12","rps12",7.6133864404578,-0.00881889378268663,0.00337378404024649,1,0.712,0.667,6.16753485957274,7.74385915664045,5.81528015804173,10.7268715875763,71.2397734424166,66.6666666666667,62.1951219512195,80
"si:ch73-46j18.5","si:ch73-46j18.5",1.89083203460454,-0.0668324404146681,0.00378531275450544,1,0.261,0.349,1.43689958112247,2.22383993564849,1.66993894655377,2.23264967509341,26.117054751416,34.8837209302326,23.1707317073171,30
"si:ch211-207l14.1","si:ch211-207l14.1",4.94683712015869,0.00835957483957661,0.00396750545903353,1,0.654,0.713,5.5770604663082,7.15665307866877,3.87550106149219,3.17813387416561,65.449968533669,71.3178294573643,47.5609756097561,40
