"","Row.names","baseMean","avg_logFC","p_val","p_val_adj","pct.1","pct.2","Ribo","L","M1","M3","M4","S","UV","pctRibo","pctL","pctM1","pctM3","pctM4","pctS","pctUV"
"akap8l","akap8l",0.891133222461922,-0.133177299439841,0.0592070885114571,1,0.085,0.205,0.343846098800595,1.04676758984193,1.3581305699402,1.21978972482761,0.665757366450125,1.12690070821097,0.476740499162024,8.51063829787234,21.019509125236,16.0714285714286,21.9178082191781,14.2857142857143,19.5121951219512,10
"trappc5","trappc5",0.702774348359712,-0.0161610076651846,0.0593808884974795,1,0.128,0.134,0.682208080528766,0.672957884919929,0.583905445018109,0.462419006476416,0.447674584825361,0.718805527112896,1.35144990963651,12.7659574468085,13.9710509754563,8.92857142857143,8.21917808219178,10,13.4146341463415,15
"emc6","emc6",0.675714154569974,-0.0984365065655823,0.0598414659578954,1,0.085,0.177,0.406164040131,0.897497755225733,1.31798980179474,0.45617374161983,0.793846772248273,0.858326970970243,0,8.51063829787234,18.5022026431718,17.8571428571429,9.58904109589041,15.7142857142857,14.6341463414634,0
"glo1","glo1",0.636151698641696,-0.0562241377171685,0.0599534255554778,1,0.106,0.152,0.557111651577233,0.787190853048311,0.971932807885583,0.635429850475453,0.626840932808497,0.679319558851419,0.195236235845373,10.6382978723404,15.7960981749528,16.0714285714286,12.3287671232877,11.4285714285714,12.1951219512195,5
"hnrnpm","hnrnpm",0.643482559473323,0.0174151210462052,0.0600420540233543,1,0.149,0.121,0.736478049812033,0.543426663004866,0.414106799300233,0.937326924400867,0.63655421467447,0.983960012595539,0.252525252525253,14.8936170212766,12.0830711139081,7.14285714285714,15.0684931506849,14.2857142857143,12.1951219512195,5
"slc38a5a","slc38a5a",2.5242994844466,-0.581347182601814,0.0602074707141699,1,0.043,0.415,0.239599538945201,3.61285855248825,1.31007649333282,4.59603249905465,2.26152788929358,4.84256216323999,0.807439254771676,4.25531914893617,42.5424795468848,19.6428571428571,43.8356164383562,30,52.4390243902439,10
"nova2","nova2",0.986795231530942,-0.0751649145830067,0.0602822743902413,1,0.106,0.17,0.796217187169386,0.904192680501434,0.87472313540542,1.5893028805283,1.65953954768853,0.693118717732774,0.390472471690746,10.6382978723404,17.2435494021397,14.2857142857143,20.5479452054795,22.8571428571429,9.75609756097561,5
"ankrd12","ankrd12",0.495328806880097,0.264673807717386,0.060457042512304,1,0.34,0.059,2.01663736753099,0.272356919023028,0.306588454857821,0.147081599793728,0.189641514878725,0.135634769712173,0.399361022364217,34.0425531914894,6.29326620516048,7.14285714285714,4.10958904109589,2.85714285714286,2.4390243902439,5
"ppifb","ppifb",0.969091906837697,-0.105043004939172,0.060723913091441,1,0.085,0.181,0.392146521163643,0.903154751310888,1.04556561324396,1.05680977611101,1.24910229160847,0.997373368706853,1.13949102571906,8.51063829787234,18.2504719949654,16.0714285714286,19.1780821917808,17.1428571428571,17.0731707317073,20
"psap","psap",0.706982356758523,-0.161786739113216,0.0609931330758857,1,0.085,0.235,0.454411545533628,1.2350407508165,0.331856368804268,1.10079466616329,0.915080654945344,0.707694143033577,0.203998368013056,8.51063829787234,24.8584015103839,7.14285714285714,21.9178082191781,21.4285714285714,17.0731707317073,5
"si:ch211-196l7.4","si:ch211-196l7.4",12.1558632810525,-0.413863546893248,0.0612578231076993,1,0.745,0.904,8.19923766377953,12.6675152833157,15.0000698085695,11.6469600425334,12.1515784154455,12.4419616284673,12.9837201252565,74.468085106383,91.1264946507237,92.8571428571429,83.5616438356164,85.7142857142857,89.0243902439024,70
"drap1","drap1",0.933155896605201,-0.129757031035042,0.0613006878467372,1,0.085,0.201,0.415544825078666,0.977140995804083,0.793002232682624,1.40208324732705,1.07944624820118,0.939126413182637,0.925747313960175,8.51063829787234,20.0125865324103,14.2857142857143,27.3972602739726,21.4285714285714,18.2926829268293,20
