"","Row.names","baseMean","avg_logFC","p_val","p_val_adj","pct.1","pct.2","L","M1","M3","M4","S","UV","pctL","pctM1","pctM3","pctM4","pctS","pctUV"
"sparc","sparc",0.661954846829736,-0.0504091210319829,0.822656486733038,1,0.107,0.151,0.477103384532146,0.649732569220942,0.933884917716267,0.24364673573923,0.910778100702737,0.756583373067096,9.94336060415356,10.7142857142857,15.0684931506849,5.71428571428571,12.1951219512195,10
"fnbp4","fnbp4",0.410883467352296,0.106502720236603,0.82297817018432,1,0.143,0.027,0.381058898668818,0.811787623625121,0.179047091339757,0.755859490396064,0.197921897235648,0.139625802848366,8.55884203901825,14.2857142857143,2.73972602739726,12.8571428571429,3.65853658536585,5
"smim13","smim13",0.715396564872997,0.0603133377672287,0.823382346584,1,0.161,0.11,0.379732021528892,0.978842709971902,0.661352577708536,0.787616849184954,0.750738588291529,0.734096642552168,8.55884203901825,16.0714285714286,10.958904109589,12.8571428571429,14.6341463414634,15
"ompa","ompa",1.86050303698596,0.0504508129763508,0.823583955313241,1,0.232,0.164,1.16430144493593,1.52252791347099,1.07958599593742,2.31022696045355,2.8475642961646,2.23881161095329,15.7960981749528,23.2142857142857,16.4383561643836,18.5714285714286,19.5121951219512,20
"minos1","minos1",2.05024090661981,-0.0129124111268021,0.823591135941331,1,0.357,0.274,2.08483400058833,2.08394347494729,1.86138456504125,1.9565767309316,2.15961614966885,2.15509051854156,36.6897419760856,35.7142857142857,27.3972602739726,31.4285714285714,35.3658536585366,30
"ap2m1a","ap2m1a",1.67814358059789,0.0447076850447829,0.823986764824392,1,0.25,0.205,2.13415949277927,1.50987814891021,1.12941547638146,1.74938712583527,1.96879812677665,1.57722311290447,38.4518565135305,25,20.5479452054795,32.8571428571429,34.1463414634146,25
"g0s2","g0s2",0.586640474368234,0.0630811225399548,0.824220251953063,1,0.161,0.11,0.595128740225637,1.13340851886101,0.800423853491194,0.352382046086924,0.638499687544635,0,10.4468219005664,16.0714285714286,10.958904109589,7.14285714285714,10.9756097560976,0
"hnrnpd","hnrnpd",0.641678175790479,-0.0666696419037634,0.824239789339026,1,0.071,0.123,0.4918626585801,0.388063614887465,0.786279144040434,0.644948505734534,0.376963708849901,1.16195142265044,10.1321585903084,7.14285714285714,12.3287671232877,14.2857142857143,6.09756097560976,20
"etv5b","etv5b",1.83779566013869,-0.00932909528851827,0.824636715541077,1,0.304,0.288,1.70034069563493,2.02374584406676,1.90445380759049,1.79268589730384,2.12683282876095,1.4787148874752,30.8370044052863,30.3571428571429,28.7671232876712,31.4285714285714,34.1463414634146,30
"morf4l1","morf4l1",1.08828606531069,0.0499963707962965,0.825036451544394,1,0.25,0.219,1.07956488475375,1.69300397395884,1.45639326906012,0.84452555309208,0.917821576046207,0.538407134953128,21.0824417872876,25,21.9178082191781,20,17.0731707317073,10
"spag1a","spag1a",0.714565741845849,-0.0461048194487332,0.825246281814906,1,0.125,0.164,0.853560794431073,0.725263929538228,0.83747472067123,1.04787884280933,0.823216163625237,0,18.3763373190686,12.5,16.4383561643836,21.4285714285714,18.2926829268293,0
"fkbp1b","fkbp1b",1.14714693858552,0.053798656746035,0.82552024672372,1,0.196,0.151,1.26520542617059,1.11261525820905,1.01251956088603,1.22285331985287,1.32275584451282,0.946932221881733,24.2290748898678,19.6428571428571,15.0684931506849,20,25.609756097561,20
"lancl1","lancl1",0.49201714225473,-0.0932898468369367,0.82571998566277,1,0.036,0.11,0.489420988090692,0.192456547744705,0.509393281099011,0.610566260110682,0.539747148611341,0.610518627871951,10.824417872876,3.57142857142857,10.958904109589,11.4285714285714,12.1951219512195,10
"pdcl","pdcl",1.46162192483224,-0.0155071548154467,0.825828025097618,1,0.268,0.26,1.67635967762772,1.35572815564333,1.51846760172248,1.7607561658314,1.01538961120037,1.44303033696812,31.529263687854,26.7857142857143,26.027397260274,32.8571428571429,21.9512195121951,30
"ifrd1","ifrd1",0.884439549979135,-0.0419172848816699,0.825850128056822,1,0.143,0.178,1.04096343019558,0.892129216909405,0.931698778670505,0.94662528468884,0.773465836091888,0.721754753318598,20.6419131529264,14.2857142857143,17.8082191780822,21.4285714285714,17.0731707317073,10
"c23h20orf24","c23h20orf24",0.695784587597439,0.0509597620076099,0.825918584348322,1,0.179,0.137,0.756892102259165,1.1682870249781,0.741134960861821,0.450934395800659,0.862222805839512,0.195236235845373,16.8030207677785,17.8571428571429,13.6986301369863,8.57142857142857,13.4146341463415,5
"SLC16A7","SLC16A7",1.0037090942395,-0.0378417941693273,0.826392324668673,1,0.161,0.137,1.07504265507476,0.89842355335571,0.804527897944968,0.870720686470761,0.942771389554222,1.4307683830366,21.5229704216488,16.0714285714286,13.6986301369863,15.7142857142857,18.2926829268293,15
"srrm2","srrm2",1.15867161977157,0.0504508129763508,0.82655544369808,1,0.196,0.192,0.970743051835969,1.62779496220301,1.22863486599562,1.1808171904155,0.898580590839381,1.04545905733993,19.5091252359975,19.6428571428571,19.1780821917808,22.8571428571429,17.0731707317073,20
"tomm20b","tomm20b",1.5958694643973,-0.0157946350531603,0.826564198689793,1,0.268,0.274,1.35444240200726,1.91240932848689,1.72355114493739,1.4170570953564,1.32651327007025,1.84124354552564,26.1799874134676,26.7857142857143,27.3972602739726,27.1428571428571,20.7317073170732,35
"smad3a","smad3a",0.834406435873222,0.0419641990990321,0.827044441279842,1,0.179,0.164,0.544071496273712,1.43820209356375,0.861803738432244,0.648786588788847,1.15463715331358,0.358937544867193,11.2649465072373,17.8571428571429,16.4383561643836,15.7142857142857,21.9512195121951,5
"spna2","spna2",0.527098075757575,0.0932574934865827,0.827100773158011,1,0.143,0.041,0.444130245880511,0.815189731673131,0.251141063553076,0.270740044716301,0.597073643232236,0.784313725490196,9.43989930774072,14.2857142857143,4.10958904109589,8.57142857142857,10.9756097560976,5
"tfam","tfam",0.561259945014936,-0.0761954134776366,0.827491056871732,1,0.054,0.123,0.502388735027468,0.410617998167547,0.748322211602971,0.626271185587903,0.582941647059594,0.497017892644135,10.0062932662052,5.35714285714286,12.3287671232877,8.57142857142857,12.1951219512195,5
"ppme1","ppme1",0.888073450039741,0.0603133377672287,0.82769898222671,1,0.161,0.11,0.694271921366094,1.04630830249714,0.543298513776928,0.980991234478081,1.26187479113785,0.801695936982356,15.607300188798,16.0714285714286,10.958904109589,22.8571428571429,21.9512195121951,15
